   0.00000000       0.00000000    
  0.314159274      0.309017003    
  0.628318548      0.587785244    
  0.942477822      0.809017003    
   1.25663710      0.951056540    
   1.57079637       1.00000000    
   1.88495564      0.951056480    
   2.19911480      0.809017003    
   2.51327419      0.587785184    
   2.82743359      0.309016794    
   3.14159274      -8.74227766E-08
   3.45575190     -0.309016973    
   3.76991129     -0.587785363    
   4.08407068     -0.809017122    
   4.39822960     -0.951056480    
   4.71238899      -1.00000000    
   5.02654839     -0.951056480    
   5.34070778     -0.809016824    
   5.65486717     -0.587784946    
   5.96902609     -0.309016943    
   6.28318548       1.74845553E-07
